SizeBucket,Reward,Metric,Mean,Std,Min,Max,CI_95_Low,CI_95_High,Mean_Improvement,Std_Improvement,CI_95_Improvement_Low,CI_95_Improvement_High,Improvement_Type,N_Runs
Small,EFFRES,ASPLVariance,0.6872743810208896,0.11783827622951312,0.43346014499668967,0.8503969539785746,0.6029779563303457,0.7715708057114334,64.95048382728302,11.706721096270789,56.12300283346164,73.7779648211044,Percentage (lower is better),10
Small,EFFRES,ArticulationPoints,1.18,0.5028805910838963,0.6,2.0,0.8202608962806364,1.5397391037193635,74.34076836882775,10.54993084376144,66.38556782688431,82.2959689107712,Percentage (lower is better),10
Small,EFFRES,Bridges,2.66,1.3334999895846351,0.6,5.2,1.7060715733152518,3.6139284266847485,74.34899156757076,8.335482689176791,68.06360094384823,80.6343821912933,Percentage (lower is better),10
Small,EFFRES,BetCentralization,7.9152552521317885,2.025185636799531,5.15110052910053,11.347869716068242,6.46652472093885,9.363985783324727,33.76648219739984,5.266569626992482,29.795212795609544,37.73775159919013,Percentage (lower is better),10
Small,EFFRES,NatConnectivity,1.495051383406855,0.173461544071944,1.2155711088963765,1.8405275790173707,1.370964469931589,1.619138296882121,15.350792231766004,2.897339937650509,13.166046134039554,17.535538329492454,Percentage (higher is better),10
Small,EFFRES,EffResistance,364.54446440293157,123.17440186323563,97.78362882383297,515.1457521670652,276.43080538908293,452.6581234167802,50.92047054117785,6.5478091093448425,45.98307944860927,55.85786163374643,Percentage (lower is better),10
Small,EFFRES,λ₂_λₙ_Ratio,0.17598098887663272,0.03708943690684944,0.13035903646649916,0.23081271117342322,0.14944880404609914,0.2025131737071663,90.15383811675389,39.564897137221465,60.31983296457017,119.98784326893761,Percentage (higher is better),10
Small,EFFRES,Assortativity,-0.35594439235165387,0.05965564587379993,-0.44060398483356134,-0.2175283585485403,-0.3986194706086715,-0.31326931409463626,-9.069133690195944,10.920066241790824,-17.303435712765395,-0.8348316676264922,Percentage (negative is better),10
Small,EFFRES,AvgClustering,0.1344944181784578,0.10184586056886463,0.0,0.33126559714795006,0.061638278474194924,0.2073505578827207,9.757213230404426,36.92497923636238,-18.08615552552093,37.60058198632978,Percentage (higher is better),10
Small,EFFRES,Transitivity,0.10091606871328154,0.07715567016078163,0.0,0.24437709968841928,0.04572222722760791,0.15610991019895518,1.5197673172557171,33.71670362225429,-23.904393551714715,26.94392818622615,Percentage (higher is better),10
Small,IVI,λ₂,0.29018191143087707,0.07441682742350415,0.1765020155246435,0.42325462379789913,0.23694732001173088,0.34341650285002323,62.64801873026547,29.42048712861191,40.46343016605005,84.83260729448088,Percentage (higher is better),10
Small,IVI,AvgNodeConn,1.8291119320585287,0.18377973567373748,1.616878835901791,2.104245722834268,1.6976438289636089,1.9605800351534486,35.64311384779879,11.958885964739746,26.625487332834997,44.66074036276258,Percentage (higher is better),10
Small,IVI,EdgeConn,1.54,0.26749870196985176,1.0,2.0,1.3486429562029498,1.7313570437970502,40.42857105336735,19.786215496810367,25.508728016072567,55.34841409066213,Percentage (higher is better),10
Small,IVI,SpectralGap,0.29018191143087707,0.07441682742350415,0.1765020155246435,0.42325462379789913,0.23694732001173088,0.34341650285002323,62.64801873026547,29.42048712861191,40.46343016605005,84.83260729448088,Percentage (higher is better),10
Small,IVI,GCC_5%,0.858257087468324,0.06327753974219917,0.7744444444444445,0.9771428571428572,0.8129910624197901,0.9035231125168578,14.166247242916274,10.744612052812299,6.064246870463663,22.268247615368885,Percentage (higher is better),10
Small,IVI,GCC_10%,0.7358684400044284,0.09602809522648578,0.6146138807429129,0.9242424242424242,0.6671740789152558,0.804562801093601,33.692371162426774,17.259468467932784,20.677827755163904,46.706914569689644,Percentage (higher is better),10
Small,IVI,AttackCurveAUC,0.14402762078033318,0.013584675844235674,0.1305518524110833,0.17185256448822828,0.13430972909954622,0.15374551246112014,23.480268340869177,11.968153041340784,14.455653964668135,32.50488271707022,Percentage (higher is better),10
Small,IVI,RobustnessCoeff,0.24179162262681983,0.0422150449882085,0.18579825651819032,0.32713302786679405,0.21159279865789643,0.27199044659574323,15.351386728998133,6.152945519404113,10.711743469207782,19.991029988788483,Percentage (higher is better),10
Small,IVI,ASPL,2.3977785318899167,0.2276025567454492,1.9244763423710793,2.6868804785869784,2.2349614711014567,2.5605955926783768,20.148968379935674,5.1141187561370725,16.292654921308348,24.005281838563,Percentage (lower is better),10
Small,IVI,Diameter,4.42,0.5613475849338903,3.4,5.2,4.018436128457665,4.821563871542335,27.796384360020937,7.135370216234892,22.415941411930415,33.176827308111456,Percentage (lower is better),10
Small,IVI,Efficiency,0.5214456651983632,0.05241838630384446,0.4595025988916784,0.6284533935849728,0.48394781055514347,0.558943519841583,13.823674121436582,2.4374536483511418,11.985706378189118,15.661641864684047,Percentage (higher is better),10
Small,IVI,ASPLVariance,0.8169931067813604,0.17838087425191892,0.5334482716892088,1.1173841295709903,0.6893871164890125,0.9445990970737083,58.577396900250605,13.46410965806382,48.42475286543656,68.73004093506465,Percentage (lower is better),10
Small,IVI,ArticulationPoints,1.54,0.7777460310981272,0.6,3.0,0.9836340055489324,2.0963659944510677,67.55252304236741,12.503048423154619,58.12456952638379,76.98047655835103,Percentage (lower is better),10
Small,IVI,Bridges,3.28,1.7028081382103961,1.2,6.6,2.061884438758045,4.4981155612419546,66.95611605710438,13.447982460014702,56.81563277448487,77.0965993397239,Percentage (lower is better),10
Small,IVI,BetCentralization,11.179736221481052,3.592507054369037,5.721566137566137,16.47277107640845,8.609811490326333,13.749660952635772,7.179672553072595,16.17925478731053,-5.020333149179401,19.379678255324592,Percentage (lower is better),10
Small,IVI,NatConnectivity,1.6967270522849236,0.1830150592321175,1.3276349537662315,2.0437739396007424,1.5658059657633632,1.827648138806484,31.23927036952071,8.991890822884097,24.45891362532428,38.01962711371714,Percentage (higher is better),10
Small,IVI,EffResistance,408.99322109995376,151.8840618581983,110.18613310504966,620.060705135889,300.3419085401314,517.6445336597761,45.378863592722766,7.218340974492862,39.935856346265346,50.821870839180185,Percentage (lower is better),10
Small,IVI,λ₂_λₙ_Ratio,0.1618039958033759,0.04568447429712461,0.09537609577727386,0.23571878604535007,0.129123291618481,0.1944846999882708,70.58225820302813,31.094725659822295,47.135206076911416,94.02931032914485,Percentage (higher is better),10
Small,IVI,Assortativity,-0.33650984955602253,0.09763126351250805,-0.47653633010862473,-0.1465219518964075,-0.4063510481500626,-0.26666865096198245,-15.530194691067667,16.05183174848436,-27.634116746655245,-3.426272635480087,Percentage (negative is better),10
Small,IVI,AvgClustering,0.2574225257187196,0.102983124015171,0.1125108525108525,0.40817450526334903,0.18375283675421333,0.33109221468322586,112511000.38439572,337532508.24142516,-142006193.3537543,367028194.1225457,Percentage (higher is better),10
Small,IVI,Transitivity,0.17696234110569614,0.08462616428374525,0.0650786177750564,0.3055249165904931,0.11642443005801517,0.2375002521533771,65078706.97124958,195235823.59312096,-82139331.95771638,212296745.90021554,Percentage (higher is better),10
Small,NNSI,λ₂,0.25414771694172356,0.07410892179554172,0.16752566175808956,0.3979720448185076,0.20113338793993296,0.30716204594351415,42.674881411142465,31.99551163206264,18.54858947192508,66.80117335035985,Percentage (higher is better),10
Small,NNSI,AvgNodeConn,1.751362370796116,0.23287917746137232,1.4525120488415593,2.152561365785786,1.584770642938239,1.9179540986539927,29.575971863098765,13.541162093312499,19.365226255513676,39.786717470683854,Percentage (higher is better),10
Small,NNSI,EdgeConn,1.5,0.2357022603955159,1.2,1.8,1.3313887602690058,1.6686112397309942,36.52380918617915,14.827886187129717,25.342806203445534,47.70481216891277,Percentage (higher is better),10
Small,NNSI,SpectralGap,0.25414771694172356,0.07410892179554172,0.16752566175808956,0.3979720448185076,0.20113338793993296,0.30716204594351415,42.674881411142465,31.99551163206264,18.54858947192508,66.80117335035985,Percentage (higher is better),10
Small,NNSI,GCC_5%,0.8582571275257932,0.06660977825760397,0.7368421052631579,0.9396273291925465,0.8106073626428643,0.9059068924087221,13.91600052165335,8.092783615457503,7.813617713941523,20.01838332936518,Percentage (higher is better),10
Small,NNSI,GCC_10%,0.7028704405237411,0.09954489961566217,0.5876590987272102,0.8870370370370371,0.6316603091277612,0.7740805719197211,26.98257334251727,10.759151173579113,18.86960971133658,35.09553697369796,Percentage (higher is better),10
Small,NNSI,AttackCurveAUC,0.14328889932341787,0.01428900608224394,0.1227567542787418,0.16759021896242482,0.13306716014277528,0.15351063850406046,22.52382942920076,8.768081081773392,15.912236954661026,29.135421903740493,Percentage (higher is better),10
Small,NNSI,RobustnessCoeff,0.24648356892980963,0.03883123376744912,0.1938038473797944,0.3130217043658602,0.21870537768621728,0.274261760173402,17.775313087285184,5.457688536793572,13.659930015240423,21.890696159329945,Percentage (higher is better),10
Small,NNSI,ASPL,2.5056344415640766,0.2707023540286115,1.9558395989974937,2.866818453193665,2.3119856431424086,2.6992832399857445,16.76833840671278,3.2922064847155776,14.285842246381426,19.25083456704413,Percentage (lower is better),10
